,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Cliente ,Descripción de cliente ,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa principal,Placas / Paralelas,Stacker´s,Bandas,Prensa alterna 1,Placas / Paralelas2,Stacker´s2,Bandas2,Prensa alterna 2,Placas / Paralelas3,Stacker's ,Bandas3,Prensa alterna 3,Placas / Paralelas4,Stacker's 3,Bandas4,Long. alambre para corte,Cal. de alambre,Tipo de alambre,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso de alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack´s por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
34,EI 300 STD 4HO ,SHAPE,,EI 300 4HO 0.375 26 ®,,EI 300,,,Placas 14,,B4,,,,,,,,,,,,,"30, 32",,,Evaporativo,Si,50M470,,,0.0197,9.000,,E:3 / I:6,#VALUE!,#VALUE!,,,,,GPM 80
35,,LACONIA,,E-3P325  ® 26,,E-325-3P,288.925,P-200B,Placas 14,N/A,N/A,P-150A,N/A,,,,,,,N/A,,,,,18,N/A,,,,,,0.0197,16.250,0.326,,0,0.000,,,,,
36,,LACONIA,,I-3P325  ® 26,,I-325-3P,412.75,Bliss,N/A,I-325-3P,B4,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,CTL-C,N/A,N/A,N/A,32,18,Recocido ,,,,,,0.0197,3.250,0.13,,0,0.000,,,,,
37,,POWER MAGNETICS,,E-3P325  ® 29,,E-325-3P,288.925,P-200B,Placas 14,N/A,N/A,P-150A,N/A,,,,,,,N/A,,,,,18,N/A,,,,,,0.0138,16.250,,,0,0.000,,,,,
38,,POWER MAGNETICS,,I-3P325  ® 29,,I-325-3P,412.75,Bliss,N/A,I-325-3P,B4,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,CTL-C,N/A,N/A,N/A,32,18,Recocido ,,,,,,0.0138,3.250,,,0,0.000,,,,,
50,F26-60045-XX,NIDEC,LAMINATION ,F26-60045-07,,F26-60045,160,P-200B,N/A,N/A,Bandas nuevas,,,,,,,,,,,,,,,,Evaporativo,No,65M470,,,0.0256,18.110,0.212,2,79,16.748,,,,,GPM 160
51,11-1010-00-00,ANKO,FRAME LAMINATION ,,,11-10 XX,,Minster 100,N/A,11-10 XX,N/A,,,,,,,,,,,,,20,18,Recocido,Tech Cool Add 20 / Tech Cool 10-1,Si,65M800,,,0.0256,,0.0088,18.94,740,6.512,,,,,GPM 160
52,11-1011-00-00,ANKO,CORE LAMINATION ,,,11-10 XX,,Minster 100,N/A,11-10 XX,N/A,,,,,,,,,,,,,20,18,Recocido,Tech Cool Add 20 / Tech Cool 10-1,Si,65M800,,,0.0256,,0.0053,18.94,740,3.922,,,,,GPM 160
53,11-1012-XX-00,ANKO,ROTOR,,,11-10 XX,,Minster 100,N/A,11-10 XX,N/A,,,,,,,,,,,,,20,18,Recocido,Tech Cool Add 20 / Tech Cool 10-1,Si,65M800,,,0.0256,,0.0013,18.94,740,0.962,,,,,GPM 160
54,11101009,BODINE ELECTRIC,LAMINATION STATOR 42R STEEL 24 SLOT,E11101009,,42 FRAME,93.3,P-150A,Placas 10,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,,,50M600,,,0.0197,3.720,0.0107,,0,0.000,,,,,
